symbol,entry_ts,exit_ts,side,entry_px,exit_px,qty,bars_held,entry_z,reason,gross,cost,pnl,ret_pct,equity
MU,2026-05-26 00:15:00+00:00,2026-05-26 02:15:00+00:00,long,786.47,782.8450760000001,3.75,8,-2.63585351798109,time_stop,-13.593464999999867,2.0576870175,-15.651152017499868,-0.1600147480143517,9765.417288059112
SNDK,2026-05-26 00:15:00+00:00,2026-05-26 02:15:00+00:00,long,1525.79,1512.44613,2.31,8,-3.1123946498642288,time_stop,-30.824339699999825,2.45179026015,-33.276129960149824,-0.3407548185456342,9732.141158098962
MSTR,2026-05-28 01:30:00+00:00,2026-05-28 03:15:00+00:00,long,152.53,150.204925,17.53,7,-2.7853006182701723,z_stop,-40.75856474999997,1.8513163476250003,-42.60988109762497,-0.4378263776226219,9689.531277001337
SNDK,2026-05-28 03:30:00+00:00,2026-05-28 05:30:00+00:00,long,1526.09,1547.93548,0.69,8,-3.132666668898813,time_stop,15.073381200000123,0.7446381606,14.328743039400123,0.14787859835294845,9703.860020040736
INTC,2026-06-01 00:15:00+00:00,2026-06-01 02:15:00+00:00,long,112.61,112.41626500000001,12.94,8,-5.043085749206354,time_stop,-2.506930899999865,1.0187679145500002,-3.525698814549865,-0.03633295211666774,9700.334321226186
MU,2026-06-01 01:00:00+00:00,2026-06-01 03:00:00+00:00,short,1009.48,1009.00261,1.68,8,3.089766876776538,time_stop,0.8020152000000235,1.1867474724,-0.38473227239997654,-0.003966175387977183,9699.949588953787
SNDK,2026-06-02 00:15:00+00:00,2026-06-02 02:15:00+00:00,long,1739.29,1721.08352,1.22,8,-2.976583983566125,time_stop,-22.21190560000007,1.4742477071999998,-23.68615330720007,-0.2441884165477895,9676.263435646586
INTC,2026-06-02 02:00:00+00:00,2026-06-02 04:00:00+00:00,long,107.49,111.146646,18.3,8,-2.753383869697622,time_stop,66.91662180000017,1.4104052109,65.50621658910018,0.6769784330982606,9741.769652235685
MSTR,2026-06-02 02:00:00+00:00,2026-06-02 04:00:00+00:00,long,147.04000000000002,148.275504,11.05,8,-3.150671058610143,time_stop,13.652319199999909,1.1441805596,12.508138640399908,0.12839698624499252,9754.277790876085
PLTR,2026-06-03 02:30:00+00:00,2026-06-03 04:30:00+00:00,long,149.34,149.65509,14.06,8,-2.686734734000878,time_stop,4.430165399999971,1.4720193627,2.9581460372999704,0.030326653604913205,9757.235936913385
MSTR,2026-06-03 03:30:00+00:00,2026-06-03 05:30:00+00:00,long,133.91,136.888921,13.23,8,-2.7037430093327486,time_stop,39.41112483000018,1.2598460724150002,38.15127875758518,0.39100498342211865,9795.38721567097
PLTR,2026-06-05 01:15:00+00:00,2026-06-05 03:15:00+00:00,long,139.51000000000002,140.497838,15.7,8,-3.0068838590191524,time_stop,15.50905659999972,1.5409694283000002,13.96808717169972,0.14259862182225053,9809.355302842669
AMD,2026-06-08 00:15:00+00:00,2026-06-08 02:15:00+00:00,short,474.01,473.622044,2.7,8,2.6564199371967576,time_stop,1.0474811999999305,0.8953551594,0.1521260405999305,0.0015508260828909488,9809.50742888327
ORCL,2026-06-08 00:15:00+00:00,2026-06-08 02:15:00+00:00,short,218.42999999999998,215.974773,6.06,8,3.349382247080403,time_stop,14.878675619999875,0.91914072219,13.959534897809874,0.14230617591161815,9823.466963781078
PLTR,2026-06-08 00:15:00+00:00,2026-06-08 02:15:00+00:00,short,135.81,135.880752,33.93,8,3.286529585892759,time_stop,-2.40061535999996,3.22682361768,-5.62743897767996,-0.05728567112230551,9817.839524803398
MU,2026-06-08 01:30:00+00:00,2026-06-08 03:30:00+00:00,long,874.21,905.7282,1.08,8,-3.132669028143239,time_stop,34.03965599999998,0.677922588,33.36173341199998,0.3398072796740691,9851.201258215398
SNDK,2026-06-08 02:45:00+00:00,2026-06-08 04:45:00+00:00,short,1624.71,1574.07208,0.65,8,2.8321982890998174,time_stop,32.91464800000008,0.7227857259999999,32.19186227400008,0.32678108415614504,9883.393120489398
MU,2026-06-09 03:45:00+00:00,2026-06-09 05:45:00+00:00,short,967.2,993.818056,1.94,8,3.8497175222801943,time_stop,-51.63902863999982,1.33927711432,-52.97830575431982,-0.5360335778255119,9830.414814735079
INTC,2026-06-09 03:45:00+00:00,2026-06-09 05:45:00+00:00,short,113.16000000000001,113.073912,8.6,8,2.77604011963526,time_stop,0.7403568000000319,0.6808530216,0.05950377840003185,0.0006053028231406878,9830.47431851348
SNDK,2026-06-09 03:45:00+00:00,2026-06-09 05:45:00+00:00,short,1670.01,1688.7064599999999,1.3,8,3.3032867906591354,time_stop,-24.305397999999855,1.531861799,-25.837259798999856,-0.2628282111509229,9804.63705871448
INTC,2026-06-10 04:30:00+00:00,2026-06-10 06:30:00+00:00,long,103.86999999999999,107.327792,8.71,8,-2.8249951703613654,time_stop,30.117368320000107,0.6483540741600001,29.469014245840107,0.3005620102954009,9834.10607296032
COIN,2026-06-10 04:45:00+00:00,2026-06-10 06:45:00+00:00,long,153.3,154.363677,16.89,8,-2.836021076601974,time_stop,17.965504529999734,1.8214486522650002,16.144055877734733,0.16416393882636812,9850.250128838054
SNDK,2026-06-10 04:45:00+00:00,2026-06-10 06:45:00+00:00,long,1589.59,1621.0135500000001,0.65,8,-2.843784645239016,time_stop,20.425307500000134,0.73347610375,19.691831396250134,0.19991199348937755,9869.941960234304
MU,2026-06-11 01:15:00+00:00,2026-06-11 03:15:00+00:00,short,921.41,903.410942,0.74,8,2.5471444049818266,time_stop,13.319302919999993,0.47063072854,12.848672191459993,0.130179815071121,9882.790632425764
INTC,2026-06-11 01:15:00+00:00,2026-06-11 03:15:00+00:00,short,108.39,107.23216,12.4,8,2.9133317634304388,time_stop,14.357216000000092,0.933646592,13.423569408000091,0.1358277222220707,9896.214201833764
SNDK,2026-06-11 01:15:00+00:00,2026-06-11 03:15:00+00:00,short,1711.01,1665.99965,0.34,8,2.6242426101057563,time_stop,15.303519000000007,0.3995686205,14.903950379500007,0.1506025443218308,9911.118152213263
MU,2026-06-12 00:30:00+00:00,2026-06-12 02:30:00+00:00,short,1015.22,997.2991,0.61,8,2.586337566551553,time_stop,10.931749000000044,0.4280330655,10.503715934500045,0.10597912135831464,9921.621868147762
AMD,2026-06-15 00:15:00+00:00,2026-06-15 02:15:00+00:00,short,533.64,537.031061,2.56,8,3.821375891133606,time_stop,-8.681116160000093,0.9606234380800001,-9.641739598080093,-0.09717906735625352,9911.980128549681
INTC,2026-06-16 01:00:00+00:00,2026-06-16 03:00:00+00:00,long,124.08999999999999,125.122452,14.59,8,-4.169165372268294,time_stop,15.063474680000093,1.27486290734,13.788611772660094,0.13911056715039682,9925.76874032234
SNDK,2026-06-16 01:00:00+00:00,2026-06-16 03:00:00+00:00,long,2070.79,2082.77498,0.99,8,-2.8563860641978467,time_stop,11.865130200000175,1.4409900351000002,10.424140164900175,0.10502098565477609,9936.19288048724
COIN,2026-06-16 02:30:00+00:00,2026-06-16 04:30:00+00:00,long,167.37,168.289498,19.35,8,-4.177838331019624,time_stop,17.792286300000086,2.2759227931500003,15.516363506850086,0.156160047348932,9951.70924399409
MU,2026-06-18 04:00:00+00:00,2026-06-18 06:00:00+00:00,short,1086.01,1088.786538,2.15,8,2.580753671621187,time_stop,-5.969556700000157,1.6374298283500002,-7.606986528350157,-0.07643899496904027,9944.10225746574
INTC,2026-06-18 04:45:00+00:00,2026-06-18 06:45:00+00:00,short,127.44000000000001,129.658886,12.02,8,4.048613583607469,time_stop,-26.6710097199998,1.08561566486,-27.756625384859802,-0.2791265080165577,9916.34563208088
INTC,2026-06-19 01:45:00+00:00,2026-06-19 03:45:00+00:00,short,136.57,133.259966,11.28,8,2.6701511435710876,time_stop,37.33718352000002,1.0596881282400001,36.27749539176002,0.3658353262153028,9952.62312747264
