ma_len,z_entry,tp_sd,stop_sd,max_hold_bars,trades,final_equity,total_return_pct,days,cagr_pct,sharpe,sortino,max_dd_pct,max_dd_at,calmar,win_rate_pct,profit_factor,avg_win,avg_loss,expectancy,avg_bars_held,total_costs,cost_pct_of_gross,trades_per_week,max_consec_losses,score
96,3.0,2.0,4.0,24,42,9524.920875752567,-4.750791242474328,155,-10.829346087031311,-2.712258147760045,-1.599832150560174,-5.789990186061167,2026-07-13 03:10:00+00:00,-1.8703565531254092,30.952380952380953,0.39457098589115336,23.816860449017472,-27.058562416712487,-11.311407720177025,14.452380952380953,96.14026212638854,25.37091645556215,1.896774193548387,7,-1.1391484220592187
72,2.0,2.5,4.0,48,132,9570.796278699,-4.292037213010003,155,-9.814694124616441,-1.14900896267767,-1.2059516726227875,-6.27197800115602,2026-06-22 01:35:00+00:00,-1.564848301892552,48.484848484848484,0.825989578477933,31.83338440106168,-36.2726518083669,-3.2515433431894047,22.083333333333332,317.7226545194551,285.00144795174106,5.961290322580646,6,-1.14900896267767
72,3.0,2.0,2.0,48,61,9197.63872406657,-8.023612759334299,155,-17.877217567359626,-1.890105164417495,-1.5387620016457237,-10.734124553665058,2026-06-26 03:30:00+00:00,-1.6654565053705876,42.62295081967213,0.6472316699687257,56.61959818202997,-64.98488081903443,-13.153463539892227,13.032786885245901,283.4107857592023,54.61229753613968,2.7548387096774194,8,-1.152964150294672
96,3.0,2.0,3.0,24,44,9367.542007679003,-6.324579923209972,155,-14.26009842170155,-2.6597545955891144,-1.5152168588869004,-7.773976858792741,2026-07-13 03:10:00+00:00,-1.834337647348756,31.818181818181817,0.41935928086775515,32.62739641368823,-36.308051403754185,-14.374045280022505,13.886363636363637,131.23218983047337,26.18224943297014,1.9870967741935484,6,-1.1702920220592103
96,3.0,2.5,2.0,24,45,9135.67888195591,-8.643211180440902,155,-19.174020417382074,-2.6042128843176173,-1.7117849729095012,-10.144603396240626,2026-07-13 02:55:00+00:00,-1.8900709735471333,31.11111111111111,0.4468585557157474,49.87477698965787,-50.405419222558,-19.207135956535275,13.11111111111111,199.96589715051465,30.09924372710671,2.032258064516129,6,-1.1718957979429279
96,3.0,2.0,3.0,48,44,9288.736479532548,-7.112635204674511,155,-15.948965988051345,-2.6647404671929094,-1.56995924928692,-8.442878271576559,2026-07-13 04:25:00+00:00,-1.8890436975438183,38.63636363636363,0.42411333237142856,30.812470048487178,-45.7435374552493,-16.165080010623836,19.818181818181817,129.61941775206185,22.285005065286086,1.9870967741935484,7,-1.1724858055648801
96,2.0,1.5,3.0,48,117,9569.799358510363,-4.302006414896365,155,-9.836813793545407,-1.1754830036137307,-1.027785484181159,-7.176338652667957,2026-07-13 04:25:00+00:00,-1.3707287615096537,50.427350427350426,0.8018612497671993,29.508616565473663,-37.434638256079005,-3.676928559740478,21.17094017094017,303.16774818163873,238.65295065475246,5.283870967741936,6,-1.1754830036137307
96,2.5,2.0,3.0,48,74,9477.684463872198,-5.22315536127802,155,-11.867204327273662,-1.5957861213894966,-1.1758399910935582,-7.903786565787807,2026-07-14 01:00:00+00:00,-1.5014580958754422,48.64864864864865,0.6894876783642339,32.21648200278076,-44.26602337441881,-7.05831805578118,22.81081081081081,225.26121103205523,75.83165502116316,3.3419354838709676,6,-1.1808817298282275
48,3.0,1.0,4.0,24,75,9641.639152193202,-3.583608478067979,155,-8.234832106245593,-1.5900541972100706,-1.4364212870248785,-5.417885965532521,2026-07-28 06:10:00+00:00,-1.5199345572486955,64.0,0.6967140383143102,17.150688966768453,-43.76273771154356,-4.778144637423872,6.653333333333333,216.5561199137231,152.71431575752857,3.3870967741935485,3,-1.1925406479075529
96,2.5,2.5,4.0,48,71,9564.557771117465,-4.354422288825354,155,-9.953062801833001,-1.6924512848836397,-1.2527145525047767,-6.40033989806631,2026-07-14 01:00:00+00:00,-1.5550834737448944,46.478873239436616,0.6720742185802117,27.04321233409503,-34.94390094493886,-6.13298913919071,26.619718309859156,166.2218656766687,61.7419364929537,3.206451612903226,6,-1.201640412267384
96,2.0,2.0,3.0,48,108,9526.23432298287,-4.737656770171306,155,-10.800387662019306,-1.2108727244133506,-1.09077450696911,-7.151277710798631,2026-07-13 04:25:00+00:00,-1.5102738417933925,45.370370370370374,0.7817620688209787,34.634735285021684,-36.79436789801999,-4.386719231639971,24.203703703703702,292.720503386084,161.68368231822834,4.87741935483871,5,-1.2108727244133506
96,2.5,1.0,3.0,48,84,9557.676486401204,-4.423235135987957,155,-10.10554637039045,-1.4513798264516955,-1.0102084959741304,-7.075034923736522,2026-07-14 01:00:00+00:00,-1.4283387261434788,64.28571428571429,0.7263462441878643,21.74145220312013,-53.87873108557623,-5.26575611427143,12.821428571428571,214.22995112560375,93.92196290098198,3.793548387096774,4,-1.2191590542194242
96,2.0,2.0,2.0,48,119,9257.879258120158,-7.421207418798426,155,-16.6049999960831,-1.2194338229057418,-1.046354750335163,-11.623890700264417,2026-07-13 06:35:00+00:00,-1.4285234113312315,42.857142857142854,0.7784176632727667,51.1189515721311,-49.252754000860605,-6.236308755292728,21.6218487394958,472.93201411344216,175.6878967546746,5.374193548387097,7,-1.2194338229057418
96,3.0,2.0,2.0,48,45,9036.523822979289,-9.634761770207112,155,-21.22464145950592,-2.7103154262285196,-1.872361855558698,-11.567242041891445,2026-07-13 02:55:00+00:00,-1.834892136140978,37.77777777777778,0.443869381758045,45.2345674162473,-61.873707967746746,-21.41058171157122,16.933333333333334,195.02491107100275,25.378956312861074,2.032258064516129,7,-1.219641941802834
96,2.0,2.5,2.0,48,118,9228.396844904595,-7.71603155095405,155,-17.229043888643293,-1.2213961234336184,-1.1367268087464606,-12.025992935067098,2026-06-19 05:35:00+00:00,-1.4326504249311838,39.83050847457627,0.7742121320381328,56.293144231448565,-48.132125830612566,-6.539009788944152,24.38135593220339,486.33485568282236,170.48331577124503,5.329032258064516,7,-1.2213961234336184
96,3.0,2.0,2.0,24,45,9111.073976030604,-8.889260239693964,155,-19.685702482715485,-2.7329033523218933,-1.7190074955434955,-10.839062711725022,2026-07-13 02:55:00+00:00,-1.8161812516704714,31.11111111111111,0.4301897821993428,47.936623796143216,-50.323830874690145,-19.75391164376421,12.311111111111112,197.56712476915723,28.576637257103936,2.032258064516129,6,-1.229806508544852
96,2.5,1.5,2.0,48,87,9391.226713789007,-6.087732862109929,155,-13.748734679401986,-1.422378011370129,-1.0160421081312394,-10.347314396346052,2026-07-14 01:00:00+00:00,-1.32872493796623,50.57471264367817,0.7523069545147617,42.022721385412076,-57.1575122597471,-6.997394094379249,16.39080459770115,368.693440519732,153.57117523053708,3.9290322580645163,8,-1.2374688698920122
96,2.0,2.5,4.0,48,105,9607.607643826997,-3.923923561730025,155,-8.995736563554468,-1.2442830196319112,-1.1552257333802107,-5.933587394315554,2026-07-13 06:10:00+00:00,-1.5160704588547038,41.904761904761905,0.7660894516463247,29.207712004608307,-27.500519415996152,-3.7370700587904717,27.685714285714287,224.92648184730746,134.31183084493043,4.741935483870968,8,-1.2442830196319112
